args_data,args_model,args_train_epochs,args_batch_size,args_seq_len,args_pred_len,args_feature_type,args_target,args_norm_type,args_activation,args_train_len,args_scaler_type,args_dropout,args_n_block,args_ff_dim,args_kernel_size,args_learning_rate,args_patience,args_seed,scalar_type_name
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.6,U,0.1,2,128,4,0.01,10,1,Unnormalized
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.6,S,0.1,2,128,4,0.01,10,1,StandardScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.6,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.7,U,0.1,2,128,4,0.01,10,1,Unnormalized
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.7,S,0.1,2,128,4,0.01,10,1,StandardScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.7,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.75,U,0.1,2,128,4,0.01,10,1,Unnormalized
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.75,S,0.1,2,128,4,0.01,10,1,StandardScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.75,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.8,U,0.1,2,128,4,0.01,10,1,Unnormalized
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.8,S,0.1,2,128,4,0.01,10,1,StandardScaler
g_cases_worldwide_2yr,tsmixer,100,32,1,1,S,g_values,B,relu,0.8,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_min,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.6,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.7,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.75,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,U,0.5,2,128,4,0.0001,10,1,Unnormalized
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,S,0.5,2,128,4,0.0001,10,1,StandardScaler
KBest_agg_sum,tsmixer,100,90,1,1,MS,g_values,B,relu,0.8,M,0.5,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_avg,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_max,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_min,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
RFE_agg_sum,tsmixer,100,32,1,1,MS,g_values,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.6,U,0.1,2,128,4,0.0001,10,1,Unnormalized
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.6,S,0.1,2,128,4,0.0001,10,1,StandardScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.6,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.7,U,0.1,2,128,4,0.0001,10,1,Unnormalized
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.75,U,0.1,2,128,4,0.0001,10,1,Unnormalized
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.8,U,0.1,2,128,4,0.0001,10,1,Unnormalized
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
g_cases_worldwide_3mth,tsmixer,100,32,1,1,S,g_values,L,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
